"License_Year_License_Number","Business_Name","Street_Address","City","State","Zip_Code","Business_Phone_Number","Classification_Code","Classification_Description","License_Expir_Date","Issue_Date","License_Fiscal_Year","License_Number","License_Status","License_Status_Description","Council_District","Council_District_Description","Full_Address","FID"
"2006-568","IDLE HOURS BOOKSHOP","212 S MICHIGAN ST","SOUTH BEND","IN","46601","(574) 234-3860","SECOND","SECOND HAND DEALERS","2007-01-31T05:00:00.000Z","2006-02-10T05:00:00.000Z","2006","568","RN","Renewed","SB1","COUNCIL DISTRICT 1","212 S MICHIGAN ST, SOUTH BEND, IN 46601","16745"
"2006-567","CRAIG'S SERVICE CENTER","5307 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 288-9110","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-03-09T05:00:00.000Z","2006","567","RN","Renewed","SB2","COUNCIL DISTRICT 2","5307 W WESTERN AVE, SOUTH BEND, IN 46619","16746"
"2006-566","SHAPIRO SALES","2920 W SAMPLE ST","SOUTH BEND","IN","46619","(574) 287-5555","SMD","SCRAP METAL /JUNK DEALERS","2007-01-31T05:00:00.000Z","2006-04-06T04:00:00.000Z","2006","566","RN","Renewed","SB6","COUNCIL DISTRICT 6","2920 W SAMPLE ST, SOUTH BEND, IN 46619","16747"
"2006-565","MARK TEMPLE TREE SERVICE","202 S OLIVE ST","SOUTH BEND","IN","46601","(574) 232-2700","ARBOR","ARBORIST/TREE SERVICE","2007-01-31T05:00:00.000Z","2006-05-17T04:00:00.000Z","2006","565","RN","Renewed","","","202 S OLIVE ST, SOUTH BEND, IN 46601","16748"
"2006-564","W D CARBOX, INC","244 S OLIVE ST","SOUTH BEND","IN","46619","(574) 288-2194","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-04-18T04:00:00.000Z","2006","564","RN","Renewed","SB6","COUNCIL DISTRICT 6","244 S OLIVE ST, SOUTH BEND, IN 46619","16749"
"2006-563","CAR WASH, RIMS & MORE","519 S EDDY ST","SOUTH BEND","IN","46617","(574) 288-4969","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-04-03T04:00:00.000Z","2006","563","RN","Renewed","SB4","COUNCIL DISTRICT 4","519 S EDDY ST, SOUTH BEND, IN 46617","16750"
"2006-562","POWER BRAKE AND SPRING","6139 PARKLAND DR","SOUTH BEND","IN","46628","(574) 289-1044","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-15T05:00:00.000Z","2006","562","RN","Renewed","SB1","COUNCIL DISTRICT 1","6139 PARKLAND DR, SOUTH BEND, IN 46628","16751"
"2006-561","PAT'S AUTO-TECH & RADIATOR","5601 S MICHIGAN ST","SOUTH BEND","IN","46614","(574) 291-5944","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-09T05:00:00.000Z","2006","561","RN","Renewed","","","5601 S MICHIGAN ST, SOUTH BEND, IN 46614","16752"
"2006-560","MIDAS / BLE AUTOMOTIVE","525 S MICHIGAN ST","SOUTH BEND","IN","46601","(574) 289-2299","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-15T05:00:00.000Z","2006","560","RN","Renewed","","","525 S MICHIGAN ST, SOUTH BEND, IN 46601","16753"
"2006-559","LINE DESIGNS OF INDIANA, INC","2408 S MICHIGAN ST","SOUTH BEND","IN","46614","(574) 233-4191","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-24T05:00:00.000Z","2006","559","RN","Renewed","SB5","COUNCIL DISTRICT 5","2408 S MICHIGAN ST, SOUTH BEND, IN 46614","16754"
"2006-558","LASALLE BODY SHOP, INC","503 E COLFAX AVE","SOUTH BEND","IN","46617","(574) 232-4146","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-05-31T04:00:00.000Z","2006","558","RN","Renewed","SB4","COUNCIL DISTRICT 4","503 E COLFAX AVE, SOUTH BEND, IN 46617","16755"
"2006-557","GURLEY-LEEP","320 E IRELAND RD","SOUTH BEND","IN","46614","(574) 291-6910","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-09T05:00:00.000Z","2006","557","RN","Renewed","SB5","COUNCIL DISTRICT 5","320 E IRELAND RD, SOUTH BEND, IN 46614","16756"
"2006-556","GATES TOYOTA, INC","333 W WESTERN AVE","SOUTH BEND","IN","46601","(574) 237-4999","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-09T05:00:00.000Z","2006","556","RN","Renewed","SB2","COUNCIL DISTRICT 2","333 W WESTERN AVE, SOUTH BEND, IN 46601","16757"
"2006-555","GATES CHEVROLET CORP","401 S LAFAYETTE BLVD","SOUTH BEND","IN","46601","(574) 237-4000","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-09T05:00:00.000Z","2006","555","RN","Renewed","SB2","COUNCIL DISTRICT 2","401 S LAFAYETTE BLVD, SOUTH BEND, IN 46601","16758"
"2006-554","JIMMY'S CC&B","1122 E INDIANA AVE","SOUTH BEND","IN","46613","(574) 288-1094","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-01-30T05:00:00.000Z","2006","554","IN","Incative and no longer licensed","SB3","COUNCIL DISTRICT 3","1122 E INDIANA AVE, SOUTH BEND, IN 46613","16759"
"2006-551","ALARMS BY TURNER","56085 CHAPEL LN","SOUTH BEND","IN","46619","(574) 282-1102","ALARM","ALARM AGENT","2007-01-31T05:00:00.000Z","2006-01-31T05:00:00.000Z","2006","551","RN","Renewed","","","56085 CHAPEL LN, SOUTH BEND, IN 46619","16762"
"2006-550","TORCH LOUNGE, INC","1817 S MICHIGAN ST","SOUTH BEND","IN","46613","(574) 234-6863","ADULT","ADULT BUSINESS","2007-01-31T05:00:00.000Z","2006-03-10T05:00:00.000Z","2006","550","RN","Renewed","SB3","COUNCIL DISTRICT 3","1817 S MICHIGAN ST, SOUTH BEND, IN 46613","16763"
"2006-549","PEACHES SHOWBAR","1811 S MICHIGAN ST","SOUTH BEND","IN","46613","(574) 287-6933","ADULT","ADULT BUSINESS","2007-01-31T05:00:00.000Z","2006-03-13T05:00:00.000Z","2006","549","RN","Renewed","SB3","COUNCIL DISTRICT 3","1811 S MICHIGAN ST, SOUTH BEND, IN 46613","16764"
"2006-834","MC DONALD'S 4584","1519 N IRONWOOD DR","SOUTH BEND","IN","46635","(574) 277-0193","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-27T05:00:00.000Z","2006","834","RN","Renewed","SB4","COUNCIL DISTRICT 4","1519 N IRONWOOD DR, SOUTH BEND, IN 46635","16765"
"2006-833","BOOKMAKER'S PUB","2046 SOUTH BEND AVE","SOUTH BEND","IN","46637","(574) 272-1766","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-20T05:00:00.000Z","2006","833","IN","Incative and no longer licensed","SB4","COUNCIL DISTRICT 4","2046 SOUTH BEND AVE, SOUTH BEND, IN 46637","16766"
"2006-832","CASA DEL RIO","1705 SOUTH BEND AVE","SOUTH BEND","IN","46637","(574) 243-3332","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-09T05:00:00.000Z","2006","832","RN","Renewed","SB4","COUNCIL DISTRICT 4","1705 SOUTH BEND AVE, SOUTH BEND, IN 46637","16767"
"2006-831","HOOSIER TRUCK SERVICES","6103 US 31 S","SOUTH BEND","IN","46614","(574) 282-2250","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-04-25T04:00:00.000Z","2006","831","IN","Incative and no longer licensed","","","6103 US 31 S, SOUTH BEND, IN 46614","16768"
"2006-830","LULA'S CAFE","1631 EDISON RD","SOUTH BEND","IN","46637","(574) 273-6216","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-09T05:00:00.000Z","2006","830","RN","Renewed","SB4","COUNCIL DISTRICT 4","1631 EDISON RD, SOUTH BEND, IN 46637","16769"
"2006-829","LIFE TREATMENT CENTERS","1402 S MICHIGAN ST","SOUTH BEND","IN","46628","(574) 233-5433","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-09T05:00:00.000Z","2006","829","RN","Renewed","SB3","COUNCIL DISTRICT 3","1402 S MICHIGAN ST, SOUTH BEND, IN 46628","16770"
"2006-827","CRAIG'S SERVICE CENTER","5307 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 288-9110","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-14T05:00:00.000Z","2006","827","1N","1st Renewal Notice","SB2","COUNCIL DISTRICT 2","5307 W WESTERN AVE, SOUTH BEND, IN 46619","16772"
"2006-826","BOOTLEG'ERS","1302 FORD ST","SOUTH BEND","IN","46619","(574) 234-0744","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-20T05:00:00.000Z","2006","826","RN","Renewed","SB6","COUNCIL DISTRICT 6","1302 FORD ST, SOUTH BEND, IN 46619","16773"
"2006-825","TAPHOUSE ON THE EDGE","1803 SOUTH BEND AVE","SOUTH BEND","IN","466375637","(574) 247-9293","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-09T05:00:00.000Z","2006","825","RN","Renewed","","","1803 SOUTH BEND AVE, SOUTH BEND, IN 466375637","16774"
"2006-824","BAKER'S DOZEN BAKESHOP","2909 W SAMPLE ST","SOUTH BEND","IN","46619","(574) 289-9559","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-07T05:00:00.000Z","2006","824","RN","Renewed","SB6","COUNCIL DISTRICT 6","2909 W SAMPLE ST, SOUTH BEND, IN 46619","16775"
"2006-823","ALLIE'S CAFE & CATERING","2323 MISHAWAKA AVE","SOUTH BEND","IN","46615","(574) 232-9520","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-09T05:00:00.000Z","2006","823","RN","Renewed","SB3","COUNCIL DISTRICT 3","2323 MISHAWAKA AVE, SOUTH BEND, IN 46615","16776"
"2006-822","FRANKIE'S BBQ","1621 W WASHINGTON ST","SOUTH BEND","IN","466282159","(574) 287-8993","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-17T05:00:00.000Z","2006","822","RN","Renewed","SB2","COUNCIL DISTRICT 2","1621 W WASHINGTON ST, SOUTH BEND, IN 466282159","16777"
"2006-821","LEE'S CHICKEN","309 S LOGAN ST","SOUTH BEND","IN","46615","(574) 289-6464","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-22T05:00:00.000Z","2006","821","IN","Incative and no longer licensed","SB3","COUNCIL DISTRICT 3","309 S LOGAN ST, SOUTH BEND, IN 46615","16778"
"2006-820","LISA'S ELEVEN-FORTY CAFE","1140 1/2 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 287-5472","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-13T05:00:00.000Z","2006","820","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","1140 1/2 W WESTERN AVE, SOUTH BEND, IN 46619","16779"
"2006-819","BENDIX FAMILY RESTAURANT","4920 W WESTERN AVE","SOUTH BEND","IN","46601","(574) 287-3037","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-07T05:00:00.000Z","2006","819","RN","Renewed","SB6","COUNCIL DISTRICT 6","4920 W WESTERN AVE, SOUTH BEND, IN 46601","16780"
"2006-818","BENDIX PANCAKE HOUSE","1007 N BENDIX DR","SOUTH BEND","IN","46628","(574) 234-5766","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-09T05:00:00.000Z","2006","818","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","1007 N BENDIX DR, SOUTH BEND, IN 46628","16781"
"2006-817","MI COCINITA","4333 W WESTERN AVE","SOUTH BEND","IN","466192614","(574) 288-4131","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-07-28T04:00:00.000Z","2006","817","RN","Renewed","SB2","COUNCIL DISTRICT 2","4333 W WESTERN AVE, SOUTH BEND, IN 466192614","16782"
"2006-816","ALL OCCASIONS CATERING, INC","1430 N IRONWOOD DR","SOUTH BEND","IN","46635","(574) 274-3207","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-07-14T04:00:00.000Z","2006","816","RN","Renewed","SB4","COUNCIL DISTRICT 4","1430 N IRONWOOD DR, SOUTH BEND, IN 46635","16783"
"2006-815","BYERS SOFTBALL COMPLEX","1300 S MAYFLOWER RD","SOUTH BEND","IN","46619","(574) 282-1449","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-04-20T04:00:00.000Z","2006","815","RN","Renewed","SB6","COUNCIL DISTRICT 6","1300 S MAYFLOWER RD, SOUTH BEND, IN 46619","16784"
"2006-814","VEDA SALON & DAY SPA","2041 E IRELAND RD","SOUTH BEND","IN","466142908","(574) 291-1001","MSGEST","MASSAGE ESTABLISHMENT","2007-01-31T05:00:00.000Z","2006-07-13T04:00:00.000Z","2006","814","RN","Renewed","SB5","COUNCIL DISTRICT 5","2041 E IRELAND RD, SOUTH BEND, IN 466142908","16785"
"2006-813","7-ELEVEN #21387B","323 N EDDY ST","SOUTH BEND","IN","46617","(574) 232-2288","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-05-17T04:00:00.000Z","2006","813","IN","Incative and no longer licensed","SB4","COUNCIL DISTRICT 4","323 N EDDY ST, SOUTH BEND, IN 46617","16786"
"2006-812","7-ELEVEN #32573B","501 E LASALLE AVE","SOUTH BEND","IN","46617","(574) 234-5221","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-27T05:00:00.000Z","2006","812","RN","Renewed","","","501 E LASALLE AVE, SOUTH BEND, IN 46617","16787"
"2006-811","LITTLE CAESAR","4640 S MICHIGAN ST","SOUTH BEND","IN","46614","(847) 286-1140","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-09T05:00:00.000Z","2006","811","RN","Renewed","SB5","COUNCIL DISTRICT 5","4640 S MICHIGAN ST, SOUTH BEND, IN 46614","16788"
"2006-810","JAMISON INN","1404 IVY CT","SOUTH BEND","IN","46637","(574) 277-6500","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-04-10T04:00:00.000Z","2006","810","RN","Renewed","SB4","COUNCIL DISTRICT 4","1404 IVY CT, SOUTH BEND, IN 46637","16789"
"2006-809","HOT DOGGIN","111 S MICHIGAN ST HOT","SOUTH BEND","IN","46601","(574) 220-2411","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-27T05:00:00.000Z","2006","809","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","111 S MICHIGAN ST HOT, SOUTH BEND, IN 46601","16790"
"2006-808","BARNABY'S","713 E JEFFERSON BLVD","SOUTH BEND","IN","46617","(574) 288-4981","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-27T05:00:00.000Z","2006","808","RN","Renewed","SB4","COUNCIL DISTRICT 4","713 E JEFFERSON BLVD, SOUTH BEND, IN 46617","16791"
"2006-807","CREST MANOR CHURCH OF BRETHREN","1342 BERKSHIRE DR","SOUTH BEND","IN","46614","(574) 291-3748","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-22T05:00:00.000Z","2006","807","RN","Renewed","SB5","COUNCIL DISTRICT 5","1342 BERKSHIRE DR, SOUTH BEND, IN 46614","16792"
"2006-806","BRYAN'S PIANO BARR","2410 MISHAWAKA AVE","SOUTH BEND","IN","46615","(574) 251-0542","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-22T05:00:00.000Z","2006","806","RN","Renewed","SB3","COUNCIL DISTRICT 3","2410 MISHAWAKA AVE, SOUTH BEND, IN 46615","16793"
"2006-805","HOLY CROSS SCHOOL","1020 WILBER ST","SOUTH BEND","IN","46628","(574) 233-2179","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-04-12T04:00:00.000Z","2006","805","RN","Renewed","SB1","COUNCIL DISTRICT 1","1020 WILBER ST, SOUTH BEND, IN 46628","16794"
"2006-804","STUDEBAGEL'S","1801 SOUTH BEND AVE","SOUTH BEND","IN","46637","(574) 277-4440","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-09T05:00:00.000Z","2006","804","RN","Renewed","SB4","COUNCIL DISTRICT 4","1801 SOUTH BEND AVE, SOUTH BEND, IN 46637","16795"
"2006-803","PEGGS","127 S MICHIGAN ST","SOUTH BEND","IN","46601","(574) 520-1777","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-27T05:00:00.000Z","2006","803","RN","Renewed","SB2","COUNCIL DISTRICT 2","127 S MICHIGAN ST, SOUTH BEND, IN 46601","16796"
"2006-802","LITTLE LINDA'S CAFE","3307 W SAMPLE ST","SOUTH BEND","IN","46619","(000) 000-0000","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-07T05:00:00.000Z","2006","802","RN","Renewed","SB6","COUNCIL DISTRICT 6","3307 W SAMPLE ST, SOUTH BEND, IN 46619","16797"
"2006-801","SAINT JOHN THE BAPTIST CATHOLI","3616 SAINT JOHNS WAY","SOUTH BEND","IN","46628","(574) 232-9849","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-03-17T05:00:00.000Z","2006","801","RN","Renewed","SB2","COUNCIL DISTRICT 2","3616 SAINT JOHNS WAY, SOUTH BEND, IN 46628","16798"
"2006-800","MEIJER STORE #120","3600 PORTAGE AVE","SOUTH BEND","IN","46628","(616) 791-5602","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-27T05:00:00.000Z","2006","800","RN","Renewed","SB1","COUNCIL DISTRICT 1","3600 PORTAGE AVE, SOUTH BEND, IN 46628","16799"
"2006-799","MEIJER GAS STATION #120","3600 PORTAGE AVE","SOUTH BEND","IN","46628","(616) 791-5602","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-03-27T05:00:00.000Z","2006","799","RN","Renewed","SB1","COUNCIL DISTRICT 1","3600 PORTAGE AVE, SOUTH BEND, IN 46628","16800"
"2006-1476","WORRELL, ROBERT C","628 W WESTERN AVE","SOUTH BEND","IN","46601","(574) 288-4485","TAXID","TAXI DRIVER","2007-06-01T04:00:00.000Z","2006-09-14T04:00:00.000Z","2006","1476","IR","In Review","SB2","COUNCIL DISTRICT 2","628 W WESTERN AVE, SOUTH BEND, IN 46601","16801"
"2006-1475","MARINE CORPS LEAGUE","539 PARRY ST","SOUTH BEND","IN","46617","(574) 233-0253","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-09-22T04:00:00.000Z","2006","1475","RN","Renewed","SB4","COUNCIL DISTRICT 4","539 PARRY ST, SOUTH BEND, IN 46617","16802"
"2006-448","BARRY SEAT COVER","1924 S MICHIGAN ST","SOUTH BEND","IN","46613","(574) 288-4603","AUTO","AUTOMOTIVE REPAIR & SVC","2007-01-31T05:00:00.000Z","2006-02-08T05:00:00.000Z","2006","448","RN","Renewed","SB3","COUNCIL DISTRICT 3","1924 S MICHIGAN ST, SOUTH BEND, IN 46613","16803"
"2006-1474","EXPRESS & ABC CAB","1733 S MICHIGAN ST","SOUTH BEND","IN","46613","(574) 233-6000","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-09-14T04:00:00.000Z","2006","1474","AC","Active and Licensed","SB3","COUNCIL DISTRICT 3","1733 S MICHIGAN ST, SOUTH BEND, IN 46613","16804"
"2006-1473","STEPHEN DRAGOVICH","616 N SAINT PETER ST","SOUTH BEND","IN","46617","(574) 288-7162","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-09-21T04:00:00.000Z","2006","1473","RN","Renewed","SB4","COUNCIL DISTRICT 4","616 N SAINT PETER ST, SOUTH BEND, IN 46617","16805"
"2006-1471","MCCLENTY, VIOLA","1130 W BRYAN ST","SOUTH BEND","IN","46616","(574) 339-2966","TAXID","TAXI DRIVER","2007-06-01T04:00:00.000Z","2006-09-14T04:00:00.000Z","2006","1471","AC","Active and Licensed","SB1","COUNCIL DISTRICT 1","1130 W BRYAN ST, SOUTH BEND, IN 46616","16806"
"2006-1470","ANTHONY F PENNINO","1220 N LAFAYETTE BLVD","SOUTH BEND","IN","46617","(574) 250-3741","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-09-25T04:00:00.000Z","2006","1470","RN","Renewed","SB4","COUNCIL DISTRICT 4","1220 N LAFAYETTE BLVD, SOUTH BEND, IN 46617","16807"
"2006-1469","DOWNTOWN SOUTH BEND, INC","217 S MICHIGAN ST","SOUTH BEND","IN","46601","(574) 282-1110","CHAR","CHARITABLE SOLICITATIONS","2007-01-31T05:00:00.000Z","2006-09-20T04:00:00.000Z","2006","1469","RN","Renewed","","","217 S MICHIGAN ST, SOUTH BEND, IN 46601","16808"
"2006-1467","ENGLISH ROSE INN - DO NOT USE","116 S TAYLOR ST","SOUTH BEND","IN","46601","(574) 289-2114","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-09-22T04:00:00.000Z","2006","1467","RN","Renewed","SB2","COUNCIL DISTRICT 2","116 S TAYLOR ST, SOUTH BEND, IN 46601","16810"
"2006-1466","NOMA RESTAURANT","119 N MICHIGAN ST","SOUTH BEND","IN","46601","(574) 274-7450","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-10-11T04:00:00.000Z","2006","1466","RN","Renewed","SB2","COUNCIL DISTRICT 2","119 N MICHIGAN ST, SOUTH BEND, IN 46601","16811"
"2006-1464","MINNIE BO RIBS","1740 SOUTH BEND AVE","SOUTH BEND","IN","46637","(574) 272-7427","RESTAM","RESTAURANTS A-M","2007-02-28T05:00:00.000Z","2006-09-12T04:00:00.000Z","2006","1464","IN","Incative and no longer licensed","SB4","COUNCIL DISTRICT 4","1740 SOUTH BEND AVE, SOUTH BEND, IN 46637","16813"
"2006-1463","RIPPLES BAR & GRILL","2035 S MICHIGAN ST","SOUTH BEND","IN","466132326","(574) 233-3521","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-10-10T04:00:00.000Z","2006","1463","RN","Renewed","SB3","COUNCIL DISTRICT 3","2035 S MICHIGAN ST, SOUTH BEND, IN 466132326","16814"
"2006-1462","FRANK PENNINO","708 W ANGELA BLVD","SOUTH BEND","IN","46617","(574) 232-2378","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-09-14T04:00:00.000Z","2006","1462","IN","Incative and no longer licensed","SB4","COUNCIL DISTRICT 4","708 W ANGELA BLVD, SOUTH BEND, IN 46617","16815"
"2006-1461","JOHNNY LAVOIE","105 E JEFFERSON BLVD","SOUTH BEND","IN","46601","(613) 323-2333","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-10-09T04:00:00.000Z","2006","1461","IN","Incative and no longer licensed","SB2","COUNCIL DISTRICT 2","105 E JEFFERSON BLVD, SOUTH BEND, IN 46601","16816"
"2006-1460","ROBERT PASZKIET","114 S GREENLAWN AVE","SOUTH BEND","IN","46615","(574) 232-0964","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-09-15T04:00:00.000Z","2006","1460","RN","Renewed","SB4","COUNCIL DISTRICT 4","114 S GREENLAWN AVE, SOUTH BEND, IN 46615","16817"
"2006-1457","DAVID LEWINSKI","20939 CABOT AVE","","","465369533","(574) 784-8638","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-09-14T04:00:00.000Z","2006","1457","RN","Renewed","","","20939 CABOT AVE, ,  465369533","16820"
"2006-1456","CHRISTOPHER TOD BEHRE","826 S 25TH ST","SOUTH BEND","IN","46615","(574) 210-2756","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-09-13T04:00:00.000Z","2006","1456","RN","Renewed","SB3","COUNCIL DISTRICT 3","826 S 25TH ST, SOUTH BEND, IN 46615","16821"
"2006-1455","PATRICK BASHAW","906 ALLEN ST","SOUTH BEND","IN","46616","(000) 000-0000","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-09-14T04:00:00.000Z","2006","1455","PP","Payment Pending","SB1","COUNCIL DISTRICT 1","906 ALLEN ST, SOUTH BEND, IN 46616","16822"
"2006-1453","UNITED CAB","2107 S MICHIGAN ST","SOUTH BEND","IN","46613","(574) 233-9599","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-09-07T04:00:00.000Z","2006","1453","AC","Active and Licensed","SB3","COUNCIL DISTRICT 3","2107 S MICHIGAN ST, SOUTH BEND, IN 46613","16824"
"2006-447","BRIAN A ANDERSON","54152 ASH RD","OSCEOLA","IN","46561","(574) 675-7620","PEDDLR","PEDDLER & CANVASSER","2007-01-31T05:00:00.000Z","2006-01-19T05:00:00.000Z","2006","447","IN","Incative and no longer licensed","","","54152 ASH RD, OSCEOLA, IN 46561","16825"
"2006-1452","IRISH CAB CO","16400 1/2 CHANDLER BLVD","MISHAWAKA","IN","46544","(574) 239-2222","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-09-07T04:00:00.000Z","2006","1452","AC","Active and Licensed","","","16400 1/2 CHANDLER BLVD, MISHAWAKA, IN 46544","16826"
"2006-1451","YELLOW CAB OF MICHIANA, INC","1818 S MAIN ST","SOUTH BEND","IN","46613","(574) 233-9333","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-09-07T04:00:00.000Z","2006","1451","AC","Active and Licensed","SB3","COUNCIL DISTRICT 3","1818 S MAIN ST, SOUTH BEND, IN 46613","16827"
"2006-1450","CHECKER CAB OF NORTHERN INDIAN","1635 N IRONWOOD DR","SOUTH BEND","IN","46615","(574) 288-7777","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-09-07T04:00:00.000Z","2006","1450","AC","Active and Licensed","SB4","COUNCIL DISTRICT 4","1635 N IRONWOOD DR, SOUTH BEND, IN 46615","16828"
"2006-145","THE LOUVERED DOOR","1622 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 237-9170","RESTZ","RESTAURANTS N-Z","2007-03-31T04:00:00.000Z","2006-02-20T05:00:00.000Z","2006","145","RN","Renewed","SB6","COUNCIL DISTRICT 6","1622 W WESTERN AVE, SOUTH BEND, IN 46619","16829"
"2006-1449","YELLOW CAB OF MICHIANA, INC","1818 S MAIN ST","SOUTH BEND","IN","46613","(574) 233-9333","TAXICAB","TAXI VEHICLE","2007-06-01T04:00:00.000Z","2006-09-07T04:00:00.000Z","2006","1449","AC","Active and Licensed","SB3","COUNCIL DISTRICT 3","1818 S MAIN ST, SOUTH BEND, IN 46613","16830"
"2006-1448","WILLIAMS, JACKIE","1240 N KALEY ST","SOUTH BEND","IN","46628","(574) 440-0346","TAXID","TAXI DRIVER","2007-06-01T04:00:00.000Z","2006-08-31T04:00:00.000Z","2006","1448","IR","In Review","SB2","COUNCIL DISTRICT 2","1240 N KALEY ST, SOUTH BEND, IN 46628","16831"
